From	To	Species	Gene Name
ENSG00000181638	NM_173832	Homo sapiens	zinc finger protein 41 homolog (mouse)
ENSG00000134954	NM_005238	Homo sapiens	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
ENSG00000134954	NM_001143820	Homo sapiens	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
ENSG00000134954	NM_001162422	Homo sapiens	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
ENSG00000185669	NM_178310	Homo sapiens	snail homolog 3 (Drosophila)
ENSG00000178187	NM_182594	Homo sapiens	zinc finger protein 454
ENSG00000185668	NM_002699	Homo sapiens	POU class 3 homeobox 1
ENSG00000102935	NM_015069	Homo sapiens	zinc finger protein 423
ENSG00000155966	NM_001170628	Homo sapiens	AF4/FMR2 family, member 2
ENSG00000155966	NM_001169125	Homo sapiens	AF4/FMR2 family, member 2
ENSG00000155966	NM_001169124	Homo sapiens	AF4/FMR2 family, member 2
ENSG00000155966	NM_001169122	Homo sapiens	AF4/FMR2 family, member 2
ENSG00000155966	NM_001169123	Homo sapiens	AF4/FMR2 family, member 2
ENSG00000155966	NM_002025	Homo sapiens	AF4/FMR2 family, member 2
ENSG00000095951	NM_002114	Homo sapiens	human immunodeficiency virus type I enhancer binding protein 1
ENSG00000171970	NM_173480	Homo sapiens	zinc finger protein 57
ENSG00000101883	NM_139282	Homo sapiens	Rhox homeobox family, member 1
ENSG00000129654	NM_001454	Homo sapiens	forkhead box J1
ENSG00000171956	NM_012182	Homo sapiens	forkhead box B1
ENSG00000136826	NM_004235	Homo sapiens	Kruppel-like factor 4 (gut)
ENSG00000120798	NM_001032287	Homo sapiens	nuclear receptor subfamily 2, group C, member 1
ENSG00000120798	NM_003297	Homo sapiens	nuclear receptor subfamily 2, group C, member 1
ENSG00000120798	NM_001127362	Homo sapiens	nuclear receptor subfamily 2, group C, member 1
ENSG00000177463	NM_003298	Homo sapiens	nuclear receptor subfamily 2, group C, member 2
ENSG00000067955	NM_022845	Homo sapiens	core-binding factor, beta subunit
ENSG00000067955	NM_001755	Homo sapiens	core-binding factor, beta subunit
ENSG00000169083	NM_000044	Homo sapiens	androgen receptor
ENSG00000169083	NM_001011645	Homo sapiens	androgen receptor
ENSG00000162772	NM_001674	Homo sapiens	activating transcription factor 3
ENSG00000162772	NM_001030287	Homo sapiens	activating transcription factor 3
ENSG00000162772	NM_001040619	Homo sapiens	activating transcription factor 3
ENSG00000162772	NM_004024	Homo sapiens	activating transcription factor 3
ENSG00000117713	NM_139135	Homo sapiens	AT rich interactive domain 1A (SWI-like)
ENSG00000117713	NM_006015	Homo sapiens	AT rich interactive domain 1A (SWI-like)
ENSG00000169297	NM_000475	Homo sapiens	nuclear receptor subfamily 0, group B, member 1
ENSG00000181449	NM_003106	Homo sapiens	SRY (sex determining region Y)-box 2
ENSG00000214534	XM_002348264	Homo sapiens	similar to Putative zinc finger protein 705H
ENSG00000214534	XM_001724873	Homo sapiens	similar to Putative zinc finger protein 705H
ENSG00000214534	XM_001723234	Homo sapiens	similar to Putative zinc finger protein 705H
ENSG00000122859	NM_020999	Homo sapiens	neurogenin 3
ENSG00000177468	NM_175747	Homo sapiens	oligodendrocyte transcription factor 3
ENSG00000176946	NM_001164356	Homo sapiens	THAP domain containing 4
ENSG00000176946	NM_015963	Homo sapiens	THAP domain containing 4
ENSG00000115844	NM_004405	Homo sapiens	distal-less homeobox 2
ENSG00000016082	NM_002202	Homo sapiens	ISL LIM homeobox 1
ENSG00000178175	NM_152625	Homo sapiens	zinc finger protein 366
ENSG00000181450	NM_178549	Homo sapiens	zinc finger protein 678
ENSG00000178177	NM_001166139	Homo sapiens	ligand dependent nuclear receptor corepressor-like
ENSG00000178177	NM_153686	Homo sapiens	ligand dependent nuclear receptor corepressor-like
ENSG00000083307	NM_024915	Homo sapiens	grainyhead-like 2 (Drosophila)
ENSG00000115738	NM_002166	Homo sapiens	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
ENSG00000170122	NM_207305	Homo sapiens	forkhead box D4
ENSG00000109320	NM_003998	Homo sapiens	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
ENSG00000109320	NM_001165412	Homo sapiens	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
ENSG00000218891	NM_152600	Homo sapiens	zinc finger protein 579
ENSG00000125107	NM_016284	Homo sapiens	CCR4-NOT transcription complex, subunit 1
ENSG00000125107	NM_206999	Homo sapiens	CCR4-NOT transcription complex, subunit 1
ENSG00000180787	NM_153018	Homo sapiens	zinc finger protein 3 homolog (mouse)
ENSG00000185670	NM_024784	Homo sapiens	zinc finger and BTB domain containing 3
ENSG00000172262	NM_003432	Homo sapiens	zinc finger protein 131
ENSG00000204859	NM_005341	Homo sapiens	zinc finger and BTB domain containing 48
ENSG00000028277	NM_002698	Homo sapiens	POU class 2 homeobox 2
ENSG00000162599	NM_005595	Homo sapiens	nuclear factor I/A
ENSG00000162599	NM_001145512	Homo sapiens	nuclear factor I/A
ENSG00000162599	NM_001145511	Homo sapiens	nuclear factor I/A
ENSG00000162599	NM_001134673	Homo sapiens	nuclear factor I/A
ENSG00000012504	NM_005123	Homo sapiens	nuclear receptor subfamily 1, group H, member 4
ENSG00000196767	NM_000307	Homo sapiens	POU class 3 homeobox 4
ENSG00000181666	NM_181786	Homo sapiens	GLI-Kruppel family member HKR1
ENSG00000188816	NM_005519	Homo sapiens	H6 family homeobox 2
ENSG00000117036	NM_001145312	Homo sapiens	ets variant 3
ENSG00000117036	NM_005240	Homo sapiens	ets variant 3
ENSG00000108813	NM_138281	Homo sapiens	distal-less homeobox 4
ENSG00000108813	NM_001934	Homo sapiens	distal-less homeobox 4
ENSG00000122882	NM_001135752	Homo sapiens	ecdysoneless homolog (Drosophila)
ENSG00000122882	NM_001135753	Homo sapiens	ecdysoneless homolog (Drosophila)
ENSG00000122882	NM_007265	Homo sapiens	ecdysoneless homolog (Drosophila)
ENSG00000059728	NM_002357	Homo sapiens	MAX dimerization protein 1
ENSG00000180535	NM_177455	Homo sapiens	basic helix-loop-helix family, member a15
ENSG00000010539	NM_003454	Homo sapiens	zinc finger protein 200
ENSG00000010539	NM_198087	Homo sapiens	zinc finger protein 200
ENSG00000010539	NM_001145446	Homo sapiens	zinc finger protein 200
ENSG00000010539	NM_001145447	Homo sapiens	zinc finger protein 200
ENSG00000010539	NM_001145448	Homo sapiens	zinc finger protein 200
ENSG00000010539	NM_198088	Homo sapiens	zinc finger protein 200
ENSG00000172273	NM_198971	Homo sapiens	histone H4 transcription factor
ENSG00000172273	NM_015517	Homo sapiens	histone H4 transcription factor
ENSG00000162714	NM_032752	Homo sapiens	zinc finger protein 496
ENSG00000204828	NM_199244	Homo sapiens	forkhead box D4-like 2; forkhead box D4-like 4
ENSG00000204828	NM_001099279	Homo sapiens	forkhead box D4-like 2; forkhead box D4-like 4
ENSG00000169981	NM_003420	Homo sapiens	zinc finger protein 35
ENSG00000125482	NM_007344	Homo sapiens	transcription termination factor, RNA polymerase I
ENSG00000129173	NM_024680	Homo sapiens	E2F transcription factor 8
ENSG00000148826	NM_177400	Homo sapiens	NK6 homeobox 2
ENSG00000172818	NM_004561	Homo sapiens	ovo-like 1(Drosophila)
ENSG00000164104	NM_001130688	Homo sapiens	high-mobility group box 2
ENSG00000164104	NM_002129	Homo sapiens	high-mobility group box 2
ENSG00000164104	NM_001130689	Homo sapiens	high-mobility group box 2
ENSG00000172819	NM_000966	Homo sapiens	retinoic acid receptor, gamma
ENSG00000172819	NM_001042728	Homo sapiens	retinoic acid receptor, gamma
ENSG00000198753	NM_001163257	Homo sapiens	plexin B3
ENSG00000198753	NM_005393	Homo sapiens	plexin B3
ENSG00000060138	NM_003651	Homo sapiens	cold shock domain protein A; cold shock domain protein A pseudogene 1
ENSG00000060138	NM_001145426	Homo sapiens	cold shock domain protein A; cold shock domain protein A pseudogene 1
ENSG00000120094	NM_002144	Homo sapiens	homeobox B1
ENSG00000132170	NM_005037	Homo sapiens	peroxisome proliferator-activated receptor gamma
ENSG00000132170	NM_015869	Homo sapiens	peroxisome proliferator-activated receptor gamma
ENSG00000132170	NM_138711	Homo sapiens	peroxisome proliferator-activated receptor gamma
ENSG00000132170	NM_138712	Homo sapiens	peroxisome proliferator-activated receptor gamma
ENSG00000164107	NM_021973	Homo sapiens	heart and neural crest derivatives expressed 2
ENSG00000120093	NM_002146	Homo sapiens	homeobox B3
ENSG00000163848	NM_021964	Homo sapiens	zinc finger protein 148
ENSG00000085644	NM_004220	Homo sapiens	zinc finger protein 213
ENSG00000085644	NM_001134655	Homo sapiens	zinc finger protein 213
ENSG00000140382	NM_018200	Homo sapiens	high-mobility group 20A
ENSG00000214513	NM_001134462	Homo sapiens	notochord homeobox
ENSG00000172006	NM_001102651	Homo sapiens	zinc finger protein 554
ENSG00000135903	NM_000438	Homo sapiens	paired box 3
ENSG00000135903	NM_181457	Homo sapiens	paired box 3
ENSG00000135903	NM_181458	Homo sapiens	paired box 3
ENSG00000135903	NM_181459	Homo sapiens	paired box 3
ENSG00000135903	NM_181460	Homo sapiens	paired box 3
ENSG00000135903	NM_001127366	Homo sapiens	paired box 3
ENSG00000135903	NM_181461	Homo sapiens	paired box 3
ENSG00000135903	NM_013942	Homo sapiens	paired box 3
ENSG00000147180	NM_021998	Homo sapiens	zinc finger protein 711
ENSG00000122877	NM_001136179	Homo sapiens	early growth response 2
ENSG00000122877	NM_001136177	Homo sapiens	early growth response 2
ENSG00000122877	NM_001136178	Homo sapiens	early growth response 2
ENSG00000122877	NM_000399	Homo sapiens	early growth response 2
ENSG00000196757	NM_144566	Homo sapiens	zinc finger protein 700
ENSG00000172000	NM_024967	Homo sapiens	zinc finger protein 556
ENSG00000110693	NM_033326	Homo sapiens	SRY (sex determining region Y)-box 6
ENSG00000110693	NM_001145811	Homo sapiens	SRY (sex determining region Y)-box 6
ENSG00000110693	NM_017508	Homo sapiens	SRY (sex determining region Y)-box 6
ENSG00000110693	NM_001145819	Homo sapiens	SRY (sex determining region Y)-box 6
ENSG00000166188	NM_020807	Homo sapiens	zinc finger protein 319
ENSG00000105497	NM_007147	Homo sapiens	zinc finger protein 175
ENSG00000130700	NM_080473	Homo sapiens	GATA binding protein 5
ENSG00000162992	NM_002500	Homo sapiens	neurogenic differentiation 1
ENSG00000182318	NM_181846	Homo sapiens	zinc finger and SCAN domain containing 22
ENSG00000075891	NM_000278	Homo sapiens	paired box 2
ENSG00000075891	NM_003990	Homo sapiens	paired box 2
ENSG00000075891	NM_003989	Homo sapiens	paired box 2
ENSG00000075891	NM_003988	Homo sapiens	paired box 2
ENSG00000075891	NM_003987	Homo sapiens	paired box 2
ENSG00000125492	NM_020064	Homo sapiens	BarH-like homeobox 1
ENSG00000180532	NM_152677	Homo sapiens	zinc finger and SCAN domain containing 4
ENSG00000122482	NM_201269	Homo sapiens	zinc finger protein 644
ENSG00000122482	NM_016620	Homo sapiens	zinc finger protein 644
ENSG00000122482	NM_032186	Homo sapiens	zinc finger protein 644
ENSG00000197385	NM_001137674	Homo sapiens	zinc finger protein 860
ENSG00000146592	NM_001011666	Homo sapiens	cAMP responsive element binding protein 5
ENSG00000146592	NM_182899	Homo sapiens	cAMP responsive element binding protein 5
ENSG00000146592	NM_004904	Homo sapiens	cAMP responsive element binding protein 5
ENSG00000146592	NM_182898	Homo sapiens	cAMP responsive element binding protein 5
ENSG00000221994	NM_001037735	Homo sapiens	zinc finger protein 630
ENSG00000163067	NM_021088	Homo sapiens	zinc finger protein 2
ENSG00000163067	NM_001017396	Homo sapiens	zinc finger protein 2
ENSG00000204604	NM_199132	Homo sapiens	zinc finger protein 468
ENSG00000204604	NM_001008801	Homo sapiens	zinc finger protein 468
ENSG00000112685	NM_018303	Homo sapiens	exocyst complex component 2
ENSG00000163064	NM_001426	Homo sapiens	engrailed homeobox 1
ENSG00000117010	NM_152373	Homo sapiens	zinc finger protein 684
ENSG00000135100	NM_000545	Homo sapiens	HNF1 homeobox A
ENSG00000142611	NM_199454	Homo sapiens	PR domain containing 16
ENSG00000142611	NM_022114	Homo sapiens	PR domain containing 16
ENSG00000069011	NM_002653	Homo sapiens	paired-like homeodomain 1
ENSG00000173917	NM_002145	Homo sapiens	homeobox B2
ENSG00000076356	NM_025179	Homo sapiens	plexin A2
ENSG00000114554	NM_032242	Homo sapiens	plexin A1
ENSG00000172292	NM_203463	Homo sapiens	LAG1 homolog, ceramide synthase 6
ENSG00000130711	NM_021619	Homo sapiens	PR domain containing 12
ENSG00000149948	NM_003484	Homo sapiens	high mobility group AT-hook 2
ENSG00000149948	NM_003483	Homo sapiens	high mobility group AT-hook 2
ENSG00000189190	NM_198457	Homo sapiens	zinc finger protein 600
ENSG00000129152	NM_002478	Homo sapiens	myogenic differentiation 1
ENSG00000173153	NM_004451	Homo sapiens	estrogen-related receptor alpha
ENSG00000197372	NM_138330	Homo sapiens	zinc finger protein 675
ENSG00000214717	NM_001171135	Homo sapiens	zinc finger, BED-type containing 1
ENSG00000214717	NM_001171136	Homo sapiens	zinc finger, BED-type containing 1
ENSG00000214717	NM_004729	Homo sapiens	zinc finger, BED-type containing 1
ENSG00000184302	NM_007374	Homo sapiens	SIX homeobox 6
ENSG00000204612	NM_001013735	Homo sapiens	forkhead box B2
ENSG00000177426	NM_173211	Homo sapiens	TGFB-induced factor homeobox 1
ENSG00000177426	NM_173210	Homo sapiens	TGFB-induced factor homeobox 1
ENSG00000177426	NM_003244	Homo sapiens	TGFB-induced factor homeobox 1
ENSG00000177426	NM_174886	Homo sapiens	TGFB-induced factor homeobox 1
ENSG00000177426	NM_173209	Homo sapiens	TGFB-induced factor homeobox 1
ENSG00000177426	NM_173208	Homo sapiens	TGFB-induced factor homeobox 1
ENSG00000177426	NM_173207	Homo sapiens	TGFB-induced factor homeobox 1
ENSG00000177426	NM_170695	Homo sapiens	TGFB-induced factor homeobox 1
ENSG00000204611	NM_178523	Homo sapiens	zinc finger protein 616
ENSG00000103199	NM_021646	Homo sapiens	zinc finger protein 500
ENSG00000181690	NM_001114634	Homo sapiens	pleiomorphic adenoma gene 1
ENSG00000181690	NM_001114635	Homo sapiens	pleiomorphic adenoma gene 1
ENSG00000181690	NM_002655	Homo sapiens	pleiomorphic adenoma gene 1
ENSG00000135111	NM_016569	Homo sapiens	T-box 3
ENSG00000135111	NM_005996	Homo sapiens	T-box 3
ENSG00000170166	NM_014621	Homo sapiens	homeobox D4
ENSG00000158773	NM_007122	Homo sapiens	upstream transcription factor 1
ENSG00000158773	NM_207005	Homo sapiens	upstream transcription factor 1
ENSG00000181135	NM_001100599	Homo sapiens	zinc finger protein 707
ENSG00000181135	NM_001100598	Homo sapiens	zinc finger protein 707
ENSG00000181135	NM_173831	Homo sapiens	zinc finger protein 707
ENSG00000198740	NM_014897	Homo sapiens	zinc finger protein 652
ENSG00000198740	NM_001145365	Homo sapiens	zinc finger protein 652
ENSG00000175213	NM_024741	Homo sapiens	zinc finger protein 408
ENSG00000025156	NM_004506	Homo sapiens	heat shock transcription factor 2
ENSG00000025156	NM_001135564	Homo sapiens	heat shock transcription factor 2
ENSG00000171291	NM_152262	Homo sapiens	zinc finger protein 439
ENSG00000197363	NM_213605	Homo sapiens	zinc finger protein 517
ENSG00000189180	NM_006954	Homo sapiens	zinc finger protein 33A
ENSG00000189180	NM_006974	Homo sapiens	zinc finger protein 33A
ENSG00000197362	NM_152411	Homo sapiens	zinc finger protein 786
ENSG00000171295	NM_152357	Homo sapiens	zinc finger protein 440
ENSG00000197360	NM_001098626	Homo sapiens	zinc finger protein 98 (F7175); keratin associated protein 1-1; zinc finger protein 492; zinc finger protein 849 pseudogene
ENSG00000197360	NM_030967	Homo sapiens	zinc finger protein 98 (F7175); keratin associated protein 1-1; zinc finger protein 492; zinc finger protein 849 pseudogene
ENSG00000197360	NM_020855	Homo sapiens	zinc finger protein 98 (F7175); keratin associated protein 1-1; zinc finger protein 492; zinc finger protein 849 pseudogene
ENSG00000143614	NM_020699	Homo sapiens	GATA zinc finger domain containing 2B
ENSG00000146587	NM_021163	Homo sapiens	hypothetical LOC389458; RB-associated KRAB zinc finger
ENSG00000106571	NM_000168	Homo sapiens	GLI family zinc finger 3
ENSG00000162086	NM_153028	Homo sapiens	zinc finger protein 75a
ENSG00000173041	NM_001130022	Homo sapiens	zinc finger protein 680
ENSG00000173041	NM_178558	Homo sapiens	zinc finger protein 680
ENSG00000171056	NM_031439	Homo sapiens	SRY (sex determining region Y)-box 7
ENSG00000168826	NM_145291	Homo sapiens	zinc finger protein 509
ENSG00000161914	NM_138783	Homo sapiens	zinc finger protein 653
ENSG00000153779	NM_138960	Homo sapiens	TGFB-induced factor homeobox 2-like, X-linked
ENSG00000108509	NM_001171167	Homo sapiens	calmodulin binding transcription activator 2
ENSG00000108509	NM_001171168	Homo sapiens	calmodulin binding transcription activator 2
ENSG00000108509	NM_015099	Homo sapiens	calmodulin binding transcription activator 2
ENSG00000108509	NM_001171166	Homo sapiens	calmodulin binding transcription activator 2
ENSG00000149054	NM_013250	Homo sapiens	zinc finger protein 215
ENSG00000120068	NM_024016	Homo sapiens	homeobox B8
ENSG00000175395	NM_145011	Homo sapiens	zinc finger protein 25
ENSG00000189164	NM_032453	Homo sapiens	zinc finger protein 527
ENSG00000111704	NM_024865	Homo sapiens	Nanog homeobox pseudogene 8; Nanog homeobox
ENSG00000149050	NM_013249	Homo sapiens	zinc finger protein 214
ENSG00000171817	NM_152606	Homo sapiens	zinc finger protein 540
ENSG00000171817	NM_001172225	Homo sapiens	zinc finger protein 540
ENSG00000171817	NM_001172226	Homo sapiens	zinc finger protein 540
ENSG00000160062	NM_001040441	Homo sapiens	zinc finger and BTB domain containing 8A
ENSG00000165462	NM_005169	Homo sapiens	paired-like homeobox 2a
ENSG00000168813	NM_014910	Homo sapiens	zinc finger protein 507
ENSG00000168813	NM_001136156	Homo sapiens	zinc finger protein 507
ENSG00000188295	NM_024804	Homo sapiens	zinc finger protein 669
ENSG00000188295	NM_001142572	Homo sapiens	zinc finger protein 669
ENSG00000043355	NM_007129	Homo sapiens	Zic family member 2 (odd-paired homolog, Drosophila)
ENSG00000134046	NM_003927	Homo sapiens	methyl-CpG binding domain protein 2
ENSG00000134046	NM_015832	Homo sapiens	methyl-CpG binding domain protein 2
ENSG00000197472	NM_020394	Homo sapiens	zinc finger protein 695
ENSG00000126456	NM_001571	Homo sapiens	interferon regulatory factor 3
ENSG00000115112	NM_014553	Homo sapiens	transcription factor CP2-like 1
ENSG00000113658	NM_005903	Homo sapiens	SMAD family member 5
ENSG00000113658	NM_001001419	Homo sapiens	SMAD family member 5
ENSG00000113658	NM_001001420	Homo sapiens	SMAD family member 5
ENSG00000167562	NM_018260	Homo sapiens	zinc finger protein 701
ENSG00000019549	NM_003068	Homo sapiens	snail homolog 2 (Drosophila)
ENSG00000117505	NM_001938	Homo sapiens	down-regulator of transcription 1, TBP-binding (negative cofactor 2)
ENSG00000115507	NM_014562	Homo sapiens	orthodenticle homeobox 1
ENSG00000142599	NM_001042682	Homo sapiens	arginine-glutamic acid dipeptide (RE) repeats
ENSG00000142599	NM_001042681	Homo sapiens	arginine-glutamic acid dipeptide (RE) repeats
ENSG00000142599	NM_012102	Homo sapiens	arginine-glutamic acid dipeptide (RE) repeats
ENSG00000123268	NM_005171	Homo sapiens	activating transcription factor 1
ENSG00000188290	NM_001142467	Homo sapiens	hairy and enhancer of split 4 (Drosophila)
ENSG00000188290	NM_021170	Homo sapiens	hairy and enhancer of split 4 (Drosophila)
ENSG00000175387	NM_001135937	Homo sapiens	SMAD family member 2
ENSG00000175387	NM_001003652	Homo sapiens	SMAD family member 2
ENSG00000175387	NM_005901	Homo sapiens	SMAD family member 2
ENSG00000171634	NM_004459	Homo sapiens	bromodomain PHD finger transcription factor
ENSG00000171634	NM_182641	Homo sapiens	bromodomain PHD finger transcription factor
ENSG00000159882	NM_006300	Homo sapiens	zinc finger protein 230
ENSG00000171827	NM_144694	Homo sapiens	zinc finger protein 570
ENSG00000159885	NM_001129996	Homo sapiens	zinc finger protein 222
ENSG00000159885	NM_013360	Homo sapiens	zinc finger protein 222
ENSG00000165495	NM_022062	Homo sapiens	PBX/knotted 1 homeobox 2
ENSG00000048405	NM_176814	Homo sapiens	zinc finger protein 800
ENSG00000084093	NM_005612	Homo sapiens	RE1-silencing transcription factor
ENSG00000173976	NM_032753	Homo sapiens	retina and anterior neural fold homeobox 2
ENSG00000168152	NM_024672	Homo sapiens	THAP domain containing 9
ENSG00000052850	NM_021926	Homo sapiens	ALX homeobox 4
ENSG00000010030	NM_016135	Homo sapiens	ets variant 7
ENSG00000173068	NM_017637	Homo sapiens	basonuclin 2
ENSG00000107807	NM_005521	Homo sapiens	T-cell leukemia homeobox 1
ENSG00000153048	NM_001042476	Homo sapiens	calcium regulated heat stable protein 1, 24kDa
ENSG00000153048	NM_014316	Homo sapiens	calcium regulated heat stable protein 1, 24kDa
ENSG00000164600	NM_022728	Homo sapiens	neurogenic differentiation 6
ENSG00000105392	NM_000554	Homo sapiens	cone-rod homeobox
ENSG00000197647	NM_001080411	Homo sapiens	zinc finger protein 433
ENSG00000187187	NM_178544	Homo sapiens	zinc finger protein 546
ENSG00000176256	NM_145205	Homo sapiens	high-mobility group box 4
ENSG00000176256	NM_001008728	Homo sapiens	high-mobility group box 4
ENSG00000134438	NM_013435	Homo sapiens	retina and anterior neural fold homeobox
ENSG00000189144	NM_152360	Homo sapiens	zinc finger protein 573
ENSG00000120087	NM_004502	Homo sapiens	homeobox B7
ENSG00000124920	NM_013279	Homo sapiens	chromosome 11 open reading frame 9
ENSG00000124920	NM_001127392	Homo sapiens	chromosome 11 open reading frame 9
ENSG00000137203	NM_001032280	Homo sapiens	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
ENSG00000137203	NM_003220	Homo sapiens	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
ENSG00000137203	NM_001042425	Homo sapiens	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
ENSG00000177508	NM_024336	Homo sapiens	iroquois homeobox 3
ENSG00000108511	NM_018952	Homo sapiens	homeobox B6
ENSG00000171649	NM_001010879	Homo sapiens	zinc finger protein interacting with K protein 1 homolog (mouse)
ENSG00000120837	NM_006166	Homo sapiens	nuclear transcription factor Y, beta
ENSG00000008083	NM_004973	Homo sapiens	jumonji, AT rich interactive domain 2
ENSG00000072310	NM_001005291	Homo sapiens	sterol regulatory element binding transcription factor 1
ENSG00000072310	NM_004176	Homo sapiens	sterol regulatory element binding transcription factor 1
ENSG00000187559	NM_199135	Homo sapiens	forkhead box D4-like 3
ENSG00000146757	NM_152626	Homo sapiens	zinc finger protein 92
ENSG00000146757	NM_007139	Homo sapiens	zinc finger protein 92
ENSG00000162702	NM_012482	Homo sapiens	zinc finger protein 281
ENSG00000120075	NM_002147	Homo sapiens	homeobox B5
ENSG00000178386	NM_013361	Homo sapiens	zinc finger protein 223
ENSG00000107249	NM_152629	Homo sapiens	GLIS family zinc finger 3
ENSG00000107249	NM_001042413	Homo sapiens	GLIS family zinc finger 3
ENSG00000188033	NM_020714	Homo sapiens	zinc finger protein 490
ENSG00000020633	NM_001031680	Homo sapiens	runt-related transcription factor 3
ENSG00000020633	NM_004350	Homo sapiens	runt-related transcription factor 3
ENSG00000126012	NM_004187	Homo sapiens	lysine (K)-specific demethylase 5C
ENSG00000126012	NM_001146702	Homo sapiens	lysine (K)-specific demethylase 5C
ENSG00000031544	NM_014249	Homo sapiens	nuclear receptor subfamily 2, group E, member 3
ENSG00000031544	NM_016346	Homo sapiens	nuclear receptor subfamily 2, group E, member 3
ENSG00000181472	NM_020861	Homo sapiens	zinc finger and BTB domain containing 2
ENSG00000102554	NM_001730	Homo sapiens	Kruppel-like factor 5 (intestinal)
ENSG00000105672	NM_014209	Homo sapiens	ets variant 2
ENSG00000101190	NM_006602	Homo sapiens	transcription factor-like 5 (basic helix-loop-helix)
ENSG00000178150	NM_153608	Homo sapiens	zinc finger protein 114
ENSG00000189120	NM_199262	Homo sapiens	Sp6 transcription factor
ENSG00000123411	NM_022465	Homo sapiens	IKAROS family zinc finger 4 (Eos)
ENSG00000106536	NM_001166018	Homo sapiens	POU class 6 homeobox 2
ENSG00000106536	NM_007252	Homo sapiens	POU class 6 homeobox 2
ENSG00000108788	NM_170607	Homo sapiens	MAX-like protein X
ENSG00000108788	NM_198205	Homo sapiens	MAX-like protein X
ENSG00000108788	NM_198204	Homo sapiens	MAX-like protein X
ENSG00000188785	NM_152909	Homo sapiens	zinc finger protein 548
ENSG00000188786	NM_005955	Homo sapiens	metal-regulatory transcription factor 1
ENSG00000173757	NM_012448	Homo sapiens	signal transducer and activator of transcription 5B
ENSG00000005102	NM_001040002	Homo sapiens	mesenchyme homeobox 1
ENSG00000005102	NM_013999	Homo sapiens	mesenchyme homeobox 1
ENSG00000005102	NM_004527	Homo sapiens	mesenchyme homeobox 1
ENSG00000125816	NM_033176	Homo sapiens	NK2 homeobox 4
ENSG00000096654	NM_007149	Homo sapiens	zinc finger protein 184
ENSG00000115350	NM_019896	Homo sapiens	polymerase (DNA-directed), epsilon 4 (p12 subunit)
ENSG00000161551	NM_001135590	Homo sapiens	zinc finger protein 577
ENSG00000161551	NM_032679	Homo sapiens	zinc finger protein 577
ENSG00000125812	NM_022482	Homo sapiens	GDNF-inducible zinc finger protein 1
ENSG00000125813	NM_006192	Homo sapiens	paired box 1
ENSG00000171872	NM_173484	Homo sapiens	Kruppel-like factor 17
ENSG00000134852	NM_004898	Homo sapiens	clock homolog (mouse)
ENSG00000168661	NM_194325	Homo sapiens	zinc finger protein 30
ENSG00000168661	NM_001099438	Homo sapiens	zinc finger protein 30
ENSG00000168661	NM_001099437	Homo sapiens	zinc finger protein 30
ENSG00000143190	NM_002697	Homo sapiens	POU class 2 homeobox 1
ENSG00000176009	NM_020646	Homo sapiens	achaete-scute complex homolog 3 (Drosophila)
ENSG00000142409	NM_001002836	Homo sapiens	zinc finger protein 787
ENSG00000123685	NM_018664	Homo sapiens	basic leucine zipper transcription factor, ATF-like 3
ENSG00000131127	NM_003441	Homo sapiens	zinc finger protein 141
ENSG00000187772	NM_001004317	Homo sapiens	lin-28 homolog B (C. elegans)
ENSG00000172493	NM_005935	Homo sapiens	AF4/FMR2 family, member 1
ENSG00000172493	NM_001166693	Homo sapiens	AF4/FMR2 family, member 1
ENSG00000155090	NM_001032282	Homo sapiens	Kruppel-like factor 10
ENSG00000155090	NM_005655	Homo sapiens	Kruppel-like factor 10
ENSG00000106546	NM_001621	Homo sapiens	aryl hydrocarbon receptor
ENSG00000116809	NM_003443	Homo sapiens	zinc finger and BTB domain containing 17
ENSG00000168468	NM_004381	Homo sapiens	activating transcription factor 6 beta
ENSG00000168468	NM_001136153	Homo sapiens	activating transcription factor 6 beta
ENSG00000012817	NM_001146705	Homo sapiens	lysine (K)-specific demethylase 5D
ENSG00000012817	NM_001146706	Homo sapiens	lysine (K)-specific demethylase 5D
ENSG00000012817	NM_004653	Homo sapiens	lysine (K)-specific demethylase 5D
ENSG00000143390	NM_001025603	Homo sapiens	regulatory factor X, 5 (influences HLA class II expression)
ENSG00000143390	NM_000449	Homo sapiens	regulatory factor X, 5 (influences HLA class II expression)
ENSG00000142556	NM_025040	Homo sapiens	zinc finger protein 614
ENSG00000123405	NM_006163	Homo sapiens	nuclear factor (erythroid-derived 2), 45kDa
ENSG00000123405	NM_001136023	Homo sapiens	nuclear factor (erythroid-derived 2), 45kDa
ENSG00000123407	NM_173860	Homo sapiens	homeobox C12
ENSG00000164900	NM_001098834	Homo sapiens	gastrulation brain homeobox 1
ENSG00000116017	NM_005224	Homo sapiens	AT rich interactive domain 3A (BRIGHT-like)
