From	To	Species	Gene Name
ENSMUSG00000078879	XM_001004283	Mus musculus	ethanol induced 1; predicted gene 4245; predicted gene 8898; predicted gene 8923; predicted gene 14420; predicted gene 4723
ENSMUSG00000078879	XM_194572	Mus musculus	ethanol induced 1; predicted gene 4245; predicted gene 8898; predicted gene 8923; predicted gene 14420; predicted gene 4723
ENSMUSG00000078879	XM_001481228	Mus musculus	ethanol induced 1; predicted gene 4245; predicted gene 8898; predicted gene 8923; predicted gene 14420; predicted gene 4723
ENSMUSG00000052684	NM_010591	Mus musculus	Jun oncogene
ENSMUSG00000079206	XM_001472773	Mus musculus	similar to OBOX4
ENSMUSG00000068959	NM_001004139	Mus musculus	zinc finger protein 619
ENSMUSG00000046311	NM_009562	Mus musculus	zinc finger protein 62
ENSMUSG00000046311	NM_001024846	Mus musculus	zinc finger protein 62
ENSMUSG00000060862	NM_198248	Mus musculus	similar to zinc finger and BTB domain containing 40; zinc finger and BTB domain containing 40
ENSMUSG00000060862	XM_913925	Mus musculus	similar to zinc finger and BTB domain containing 40; zinc finger and BTB domain containing 40
ENSMUSG00000036098	XM_888586	Mus musculus	predicted gene 98
ENSMUSG00000036098	XM_359374	Mus musculus	predicted gene 98
ENSMUSG00000036098	XM_981099	Mus musculus	predicted gene 98
ENSMUSG00000036098	NM_001033481	Mus musculus	predicted gene 98
ENSMUSG00000033006	NM_011437	Mus musculus	SRY-box containing gene 10
ENSMUSG00000033006	XM_985075	Mus musculus	SRY-box containing gene 10
ENSMUSG00000033006	XM_128139	Mus musculus	SRY-box containing gene 10
ENSMUSG00000032329	NM_025812	Mus musculus	high mobility group 20A
ENSMUSG00000049295	NM_027248	Mus musculus	zinc finger protein 219
ENSMUSG00000066838	NM_145577	Mus musculus	cDNA sequence BC023179
ENSMUSG00000025423	NM_001164170	Mus musculus	protein inhibitor of activated STAT 2
ENSMUSG00000025423	NM_008602	Mus musculus	protein inhibitor of activated STAT 2
ENSMUSG00000025423	NM_001164168	Mus musculus	protein inhibitor of activated STAT 2
ENSMUSG00000025423	NM_001164167	Mus musculus	protein inhibitor of activated STAT 2
ENSMUSG00000025423	NM_001164169	Mus musculus	protein inhibitor of activated STAT 2
ENSMUSG00000032998	NM_172699	Mus musculus	forkhead box J3
ENSMUSG00000012396	XM_001471588	Mus musculus	similar to Nanog homeobox; Nanog homeobox
ENSMUSG00000012396	NM_028016	Mus musculus	similar to Nanog homeobox; Nanog homeobox
ENSMUSG00000012396	NM_001080945	Mus musculus	similar to Nanog homeobox; Nanog homeobox
ENSMUSG00000023333	NM_008103	Mus musculus	glial cells missing homolog 1 (Drosophila)
ENSMUSG00000050919	NM_001004149	Mus musculus	zinc finger protein 366
ENSMUSG00000007216	NM_173429	Mus musculus	zinc finger protein 775
ENSMUSG00000043342	NM_013555	Mus musculus	homeo box D9
ENSMUSG00000024176	NM_011447	Mus musculus	SRY-box containing gene 8
ENSMUSG00000052271	NM_010800	Mus musculus	basic helix-loop-helix family, member a15
ENSMUSG00000026803	NM_009442	Mus musculus	transcription termination factor, RNA polymerase I
ENSMUSG00000079009	NM_001145863	Mus musculus	predicted gene 4979; predicted gene 14139
ENSMUSG00000079009	XM_001480860	Mus musculus	predicted gene 4979; predicted gene 14139
ENSMUSG00000079009	NM_001142411	Mus musculus	predicted gene 4979; predicted gene 14139
ENSMUSG00000079009	XM_893600	Mus musculus	predicted gene 4979; predicted gene 14139
ENSMUSG00000079008	NM_001142410	Mus musculus	predicted gene 14124
ENSMUSG00000026805	NM_019446	Mus musculus	BarH-like 1 (Drosophila)
ENSMUSG00000026805	NM_001164186	Mus musculus	BarH-like 1 (Drosophila)
ENSMUSG00000059552	NM_001127233	Mus musculus	transformation related protein 53
ENSMUSG00000059552	NM_011640	Mus musculus	transformation related protein 53
ENSMUSG00000058028	NM_133204	Mus musculus	zinc finger and SCAN domain containing 5B
ENSMUSG00000079203	XM_001478649	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478707	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478714	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478739	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478722	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478786	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478659	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001472790	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478756	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478731	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478653	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478665	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478688	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001472827	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001477430	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478696	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079203	XM_001478673	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000022479	NM_009504	Mus musculus	vitamin D receptor
ENSMUSG00000079205	XM_001478649	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478707	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478714	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478739	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478722	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478786	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478659	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001472790	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478756	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478731	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478653	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478665	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478688	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001472827	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001477430	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478696	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000079205	XM_001478673	Mus musculus	predicted gene 4018; predicted gene 10678; predicted gene 3998; predicted gene 4001; predicted gene 3977; oocyte specific homeobox 4; predicted gene 3989; predicted gene 4003; predicted gene 3987; predicted gene 3984; predicted gene 3981; predicted gene 3994; predicted gene 3980; predicted gene 3996; similar to OBOX4; predicted gene 3965; predicted gene 4023; predicted gene 4897
ENSMUSG00000043753	NM_175647	Mus musculus	doublesex and mab-3 related transcription factor like family A1
ENSMUSG00000078890	NM_001164689	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001480586	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001480607	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	NM_001101804	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001480913	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	NM_001113806	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001481229	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	NM_001100416	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	NM_001100415	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_902710	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001472180	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001487779	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	NM_001099327	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001472096	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001481230	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_902322	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	NM_001099349	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001004273	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001480593	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_902680	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001480589	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078890	XM_001480597	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000028042	XM_001477323	Mus musculus	similar to Zinc finger and BTB domain containing 7B; zinc finger and BTB domain containing 7B
ENSMUSG00000028042	NM_009565	Mus musculus	similar to Zinc finger and BTB domain containing 7B; zinc finger and BTB domain containing 7B
ENSMUSG00000006200	NM_008955	Mus musculus	reproductive homeobox 6
ENSMUSG00000078893	XM_001472066	Mus musculus	predicted gene 2004
ENSMUSG00000022484	NM_010462	Mus musculus	homeo box C10
ENSMUSG00000022485	NM_175730	Mus musculus	homeo box C5
ENSMUSG00000078894	NM_029813	Mus musculus	RIKEN cDNA 2210418O10 gene
ENSMUSG00000078894	NM_172929	Mus musculus	RIKEN cDNA 2210418O10 gene
ENSMUSG00000042499	NM_008273	Mus musculus	homeo box D11
ENSMUSG00000032318	NM_027397	Mus musculus	insulin related protein 2 (islet 2)
ENSMUSG00000078897	NM_001164689	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078897	XM_001480586	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078897	XM_001480607	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078897	NM_001101804	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078897	XM_001480913	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078897	NM_001113806	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078897	XM_001481229	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078897	NM_001100416	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
